time,thscode,open,close,changeRatio,volume,amount
2019-06-14,300474.SZ,40.055854973052,38.388535031847,-3.6551550289892,2894763.0,112706974.57
2019-06-17,300474.SZ,38.147476727095,38.488975992161,0.26164311878598,1508791.0,57867332.5
2019-06-18,300474.SZ,38.458843704067,38.579372856443,0.2348643006263,1323980.0,50887224.6
2019-06-19,300474.SZ,39.483341499265,39.282459578638,1.822442072377,2789852.0,109447343.67
2019-06-20,300474.SZ,39.031357177854,39.674179323861,0.99718742009716,2242091.0,88072184.46
2019-06-21,300474.SZ,40.166340029397,40.899559039686,3.0886075949367,2997813.0,121137221.3
2019-06-24,300474.SZ,41.472072513474,40.296913277805,-1.4734774066798,2068760.0,83565620.8
2019-06-25,300474.SZ,40.377266046056,39.433121019108,-2.1435692921236,1571486.0,61741011.91
2019-06-26,300474.SZ,38.971092601666,39.834884860363,1.0188487009679,1231131.0,48743971.75
2019-06-27,300474.SZ,39.925281724645,40.618324350808,1.9667170953101,2018642.0,81507334.85
2019-06-28,300474.SZ,40.477707006369,39.634002939735,-2.4233432245302,1552195.0,61608443.65
2019-07-01,300474.SZ,40.588192062714,40.909603135718,3.2184490623416,2698967.0,109217978.03
2019-07-02,300474.SZ,40.859382655561,40.226604605585,-1.6695310581881,2046327.0,82573511.34
2019-07-03,300474.SZ,40.176384125429,39.96545810877,-0.64918851435705,1540317.0,60915959.77
2019-07-04,300474.SZ,39.925281724645,39.513473787359,-1.1309374214627,1574500.0,62103211.0
2019-07-05,300474.SZ,39.634002939735,40.206516413523,1.7539400101678,1898561.0,75522229.66
2019-07-08,300474.SZ,40.317001469868,38.448799608035,-4.3717212090932,2083000.0,80979124.69
2019-07-09,300474.SZ,38.499020088192,38.709946104851,0.67920585161964,1119100.0,42865610.0
2019-07-10,300474.SZ,38.709946104851,38.951004409603,0.62272963155164,1421706.0,55395290.61
2019-07-11,300474.SZ,38.951004409603,38.499020088192,-1.1603919546158,1198475.0,46386005.42
2019-07-12,300474.SZ,38.388535031847,38.348358647722,-0.39133837725019,1066700.0,40712606.0
2019-07-15,300474.SZ,38.368446839784,39.975502204802,4.2430591932949,2506557.0,97908918.54
2019-07-16,300474.SZ,39.684223419892,40.206516413523,0.57788944723619,2264700.0,90700390.8
2019-07-17,300474.SZ,40.236648701617,41.190837824596,2.4481638770922,4000637.0,163988972.21
2019-07-18,300474.SZ,40.879470847624,40.156295933366,-2.5115825408437,2278817.0,91681093.96
2019-07-19,300474.SZ,40.276825085742,40.989955903969,2.0760380190095,2735127.0,110712480.21
2019-07-22,300474.SZ,41.140617344439,38.478931896129,-6.1259495221759,3591709.0,139708502.62
2019-07-23,300474.SZ,38.488975992161,39.15188633023,1.7488906290786,1646344.0,63736748.78
2019-07-24,300474.SZ,39.553650171485,41.482116609505,5.9517701385326,5985780.0,245004335.63
2019-07-25,300474.SZ,41.652866242038,42.275600195982,1.9128329297821,6018816.0,251244463.02
2019-07-26,300474.SZ,42.486526212641,41.914012738853,-0.8553100498931,3345926.0,140142198.62
2019-07-29,300474.SZ,42.1852033317,42.25551200392,0.81476156242512,3460412.0,145542883.48
2019-07-30,300474.SZ,41.873836354728,41.231014208721,-2.4245305443309,3488862.0,144455479.88
2019-07-31,300474.SZ,41.321411073003,41.472072513474,0.58465286236298,2627000.0,108900966.0
2019-08-01,300474.SZ,41.160705536502,40.758941695247,-1.7195446839428,2972337.0,120136890.81
2019-08-02,300474.SZ,39.37285644292,39.553650171485,-2.9571217348447,2783692.0,109314927.19
2019-08-05,300474.SZ,39.533561979422,38.920872121509,-1.5997968511935,2252110.0,88407677.72
2019-08-06,300474.SZ,37.906418422342,37.96668299853,-2.4516129032258,2951710.0,111350576.3
2019-08-07,300474.SZ,38.247917687408,37.856197942185,-0.29100529100529,1479480.0,56034597.34
2019-08-08,300474.SZ,38.167564919157,38.127388535032,0.71637039002389,1639342.0,62342034.23
2019-08-09,300474.SZ,38.368446839784,37.504654581088,-1.6332982086407,1853350.0,69807830.0
