事件,事件日期,基准指数,Stkcd,Layer,Alpha,Beta,估计窗口观测值,"CAR[-1,+1]","窗口交易日数[-1,+1]","CAR[-3,+3]","窗口交易日数[-3,+3]","CAR[-5,+5]","窗口交易日数[-5,+5]"
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,000977,上游,0.001061167699300695,1.3512795589490894,221,-0.009988514906379968,3,-0.0012423959681843039,7,0.042622225403178546,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,000988,上游,6.0843732552229157e-05,1.4381552046888337,221,0.07627789141596353,3,0.061196300059478695,7,0.11006530320287757,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,000997,中游,-0.0002944859497807645,1.3473439004949748,221,-0.02410992323015591,3,-0.03775458337055221,7,-0.03496136805142757,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002049,上游,-0.00046429451524180714,1.4012086772850514,221,0.004878201778690097,3,-0.0657845031924803,7,-0.03655786357207182,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002065,下游,0.0004172474235091707,1.1501357834369712,221,-0.00893541324982727,3,-0.08975922183759724,7,-0.11568983814128156,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002131,下游,-0.0013599784345729468,1.194515653801077,221,-0.03201177115080515,3,-0.29096313978981686,7,-0.19545957612795195,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002230,中游,-0.0004263214397251622,1.2619233520060182,221,-0.003922152419663058,3,-0.06674864966348269,7,-0.06751756743328935,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002236,中游,-0.0011653722195543532,1.330256241200141,221,0.013667064973575943,3,-0.040123515664278755,7,-0.03459465237875388,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002253,中游,0.0006763276944524488,1.0271571983027172,221,0.007287138827916616,3,-0.17071146026677222,7,-0.18306423772974129,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002281,上游,0.0012592931321964923,1.631343824047807,221,-0.005187795249170429,3,-0.10334146517761764,7,0.08123192567090666,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002368,下游,-0.001189757609036376,1.4786181017809419,221,-0.008991552847379838,3,-0.06186011544758897,7,-0.0655322641408872,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002371,上游,0.0023759382539679757,1.1798535080282564,221,0.0030838195681305303,3,-0.07522992425016642,7,-0.026236901395872335,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002405,中游,-0.00019681726106386712,1.2483504145391189,221,-0.013453547405347172,3,-0.09553151243986377,7,-0.11617063754659994,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002415,中游,-0.0009196274651214342,1.0298136197274042,221,0.014067021131879598,3,-0.0011815318967680118,7,-0.01735776338934162,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002439,下游,-0.002667618905338956,1.5080544302601444,221,0.005049706423511477,3,-0.058442048631563964,7,-0.033862317166253,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002463,上游,0.002365065630109034,1.1844517073474499,221,0.03923484838026061,3,-0.0009534305919207293,7,0.03011776672315318,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002607,下游,-0.0014093978692241514,1.1909058488216009,221,-0.020184728433600096,3,-0.1323927504311576,7,-0.25481915511288755,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,002777,中游,-0.0013513228711660235,1.1697406562905233,221,-0.00868150244564057,3,-0.09598501007200597,7,-0.11354253869235464,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,300020,下游,-0.005292489955141148,1.4442294828991302,220,0.02965229404548471,3,-0.0241234157025792,7,0.16733763116762962,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,300033,中游,0.001996621788502643,2.3914284548271114,221,-0.007839948555603177,3,-0.07793456784983724,7,-0.061989080461493866,11
DeepSeek-V3_2024-12-26,2024-12-26,000300.SH,300036,下游,-0.0012155019807175906,1.8457192529104862,221,-0.007973590742890693,3,-0.08259202022910717,7,-0.06445254375550394,11
